obj_id,n_detections
131217002301135,4
131217002301304,135
131217002301373,208
140308000101097,613
140308000101105,16
140308000101159,52
140308000101193,83
140308000101241,8
140308000101248,11
140308000101253,1
140308000101264,10
140409002501196,285
140414003101306,4
140708007101168,12
140708007101289,3
140709003801399,2
140711004401055,1555
140711004401120,11
140711004401142,15
140711004401197,7
140806004701022,7
140806004701026,12
140806004701344,4
140807005601045,1
140807005601284,8
140807005601342,12
140807006201014,27
140807006201039,5
140808004701057,5
140808004701341,5
140810005901103,39
140810005901151,3
140811005001122,14
140811005001133,2
140813004601284,1
140813004601366,28
140814006001161,17
140814006001166,10
140820002101387,1
140820003701226,5
141031003601019,12
141031003601151,4
141031003601276,4
141031003601318,3
141101003001151,3
141101003001328,34
141101003001379,11
141101003001384,13
141102002701021,10
141102002701254,2
141102003201020,16
141102003201059,17
141102003201081,3
141102003201131,3
141102003201149,21
141102003201175,15
141103003101174,12
141103003601014,28
141103003601015,6
141103003601298,2
141103004201095,1
141104002801123,8
141104003301002,34
141104003301239,40
141104003801016,4
141104003801107,3
141104003801157,10
141104003801337,42
141104004301161,20
141202003701298,17
141202003701330,5
141231002501125,3
141231003001314,2
150101002301244,8
150103003001317,6
150103003001389,4
150109001001046,664
150109001001071,308
150109001001248,858
150109001001255,1017
150109001001277,100
150109001001301,72
150112002501093,4
150112002501318,7
150211004201391,12
150408004101288,27
150409002601167,2
150409002601230,3
150409002601346,2
150409004101151,6
150409004601389,1
150409005101349,1
150409005601092,3
150409006101012,5
150409006101122,77
150409006101292,7
150410002301033,38
150410002301208,155
150411003101288,16
150412003101117,21
150412003101185,26
150412003601082,15
150413002601188,37
150413002601239,150
150413003601037,16
150413003601054,59
150427001801095,294
150427001801194,174
150427001801398,6
150427002301053,18
150427002301115,136
150427002301238,372
150427002301273,160
150427002301331,12
150704002301134,18
150705006401270,1
150705006401307,5
150706005901097,2
150706005901322,14
150827004601178,6
150827004601393,46
150827005201040,38
150827005201324,2
150828005201054,63
150828005201155,26
150828005201293,25
150828005201370,29
150828005201395,12
150828005701071,13
150828005701301,21
150829005701213,14
150829005701255,20
150830005601130,82
150830005601134,2
150830006101213,158
150831006001203,183
150831006001369,22
150902002901078,27
150902002901116,4
150902003701386,3
150903002401094,6
150903002401126,5
150903002401145,4
150903002401180,9
150903002401324,1
151008003501047,5
151008004001026,8
151008004001031,1
151008004001214,26
151008004001280,2
151008004001328,52
151009003101086,4
151009003101116,6
151009003101130,180
151009003101148,7
151009003601014,7
151009003601102,5
151009003601118,9
151009003601205,14
151009003601294,2
151009003601306,7
151009003601329,24
151009003601347,6
151009004101026,8
151009004101111,10
151009004101130,4
151009004101262,13
151009004101272,5
151009004101389,40
151009004601331,6
151009005101029,5
151009005101251,60
151109001601352,10
151109002601152,17
151109003101026,4
151109003101237,806
151109003101309,105
151109003101341,72
151109003101353,183
151110002601085,9
151110002601119,11
151110002601317,10
151110002601332,13
151110002601385,5
151110003101011,24
151110003101096,1
151110003101123,7
151110003101127,526
151110003101254,3
151110003101271,14
151110003101327,32
151110003701213,8
151111003101077,3
151111003101172,6
151111003101322,38
151111003101380,39
151111003601020,163
151111003601084,870
151111003601247,617
151219001601113,8
151219001601177,64
151219001601236,25
151219002601097,1
151219002601272,5
151219003101027,5
151219003101208,2
151220002801017,13
151220002801239,2
151220002801284,11
151220002801375,8
151220003401035,125
151220003401321,448
151226002701170,366
151226002701317,150
151230001601177,10
151230002201333,8
151230002201353,5
160106001601078,1
160106002101048,1
160106002101111,122
160106002101128,242
160106002101285,13
160106002101358,65
160106002101377,13
160106002101395,3
160106002601267,1
160107001601088,1
160107001601254,1
160107001601313,22
160107001601316,5
160107001601379,24
160107002101028,2
160107002101045,4
160107002101362,14
160107002601049,22
160107002601085,2
160107002601115,1
160107002601264,23
160107002601281,5
160107002601371,6
160107003101332,188
160107003101364,235
160108002001229,51
160109002001009,23
