obj_id,filt,n_detections
210719001601138,B,505
210719001601138,V,413
210719001601138,R,152
210719001601138,I,144
140711004401055,V,485
140711004401055,B,473
140711004401055,R,409
140711004401055,I,188
170128002601252,B,458
170128002601252,V,102
170128002601252,I,7
170128002601252,R,3
160111002101284,B,431
160111002101284,V,63
160111002101284,R,34
160111002101284,I,16
230102001601081,B,424
230102001601081,V,331
230102001601081,R,293
230102001601081,I,178
160916003801156,B,411
160916003801156,R,277
160916003801156,V,248
160916003801156,I,172
200904001101214,B,395
200904001101214,V,152
200904001101214,R,58
200904001101214,I,17
160916003801135,B,379
160916003801135,V,205
160916003801135,I,15
160916003801135,R,10
210719001601153,B,361
210719001601153,V,171
210719001601153,I,124
210719001601153,R,68
180129002601127,V,359
180129002601127,R,305
180129002601127,I,190
180129002601127,B,91
161228001501325,B,358
161228001501325,R,237
161228001501325,V,218
161228001501325,I,108
150109001001255,B,345
150109001001255,V,266
150109001001255,I,209
150109001001255,R,197
170906005601337,B,343
170906005601337,R,57
170906005601337,I,11
170906005601337,V,1
140308000101097,B,341
140308000101097,V,198
140308000101097,R,52
140308000101097,I,22
151109003101237,V,338
151109003101237,B,301
151109003101237,I,110
151109003101237,R,57
170127001601248,B,337
170127001601248,V,162
170127001601248,I,33
170127001601248,R,32
150109001001248,B,317
150109001001248,V,206
150109001001248,I,195
150109001001248,R,140
170108002201009,I,317
170108002201009,B,174
170108002201009,V,122
170108002201009,R,6
230102001601258,B,317
230102001601258,V,161
230102001601258,R,67
230102001601258,I,51
151111003601084,V,312
151111003601084,R,222
151111003601084,B,171
151111003601084,I,165
161228001501233,R,304
161228001501233,B,299
161228001501233,V,177
161228001501233,I,90
161007004201291,B,294
161007004201291,V,228
161007004201291,I,199
161007004201291,R,161
151110003101127,B,286
151110003101127,V,190
151110003101127,R,38
151110003101127,I,12
151111003601247,V,279
151111003601247,R,165
151111003601247,B,111
151111003601247,I,62
230102001601227,B,274
230102001601227,R,103
230102001601227,I,101
230102001601227,V,96
230102001601078,B,269
230102001601078,V,140
230102001601078,R,60
230102001601078,I,51
230102001601074,B,266
230102001601074,V,106
230102001601074,I,61
230102001601074,R,39
230102001601256,B,258
230102001601256,V,228
230102001601256,R,130
230102001601256,I,111
160111001601042,B,252
160111001601042,V,88
160111001601042,R,51
160111001601042,I,29
161007004201248,B,251
161007004201248,V,137
161007004201248,I,54
161007004201248,R,28
221110003101123,B,250
221110003101123,V,52
221110003101123,I,12
221110003101123,R,10
210706004701260,B,234
210706004701260,V,146
210706004701260,I,44
210706004701260,R,25
191106002301072,B,228
191106002301072,V,14
191106002301072,I,3
191106002301072,R,2
161006005901320,B,227
161006005901320,V,79
161006005901320,I,18
161006005901320,R,6
151220003401321,B,224
151220003401321,V,133
151220003401321,I,62
151220003401321,R,29
170723005101029,B,217
170723005101029,V,51
170723005101029,R,5
170723005101029,I,2
150109001001046,B,206
150109001001046,V,171
150109001001046,R,155
150109001001046,I,132
211221001601305,B,204
211221001601305,I,133
211221001601305,V,81
211221001601305,R,44
161229001601279,B,200
161229001601279,V,50
161229001601279,I,41
161229001601279,R,18
181225001601130,B,196
181225001601130,V,44
181225001601130,R,13
150427001801095,B,192
150427001801095,V,63
150427001801095,I,30
150427001801095,R,9
131217002301373,B,189
131217002301373,V,19
150427002301238,B,181
150427002301238,V,83
150427002301238,I,75
150427002301238,R,33
170119002601297,B,181
170119002601297,V,14
170119002601297,I,8
161216001801123,B,179
161216001801123,V,39
161216001801123,I,26
161216001801123,R,8
151226002701170,B,177
151226002701170,V,84
151226002701170,I,63
151226002701170,R,42
160517000101089,B,177
160517000101089,V,63
160517000101089,I,60
160517000101089,R,59
150109001001071,B,176
150109001001071,V,75
150109001001071,I,32
150109001001071,R,25
140409002501196,B,174
140409002501196,V,87
140409002501196,I,17
140409002501196,R,7
151109003101353,B,158
151109003101353,I,16
151109003101353,V,9
181226002601187,B,154
181226002601187,V,50
181226002601187,R,4
170103001801326,B,152
170103001801326,V,29
170103001801326,I,18
170103001801326,R,12
160106002101128,B,140
160106002101128,V,43
160106002101128,I,36
160106002101128,R,23
161118002501058,B,133
161118002501058,V,15
161118002501058,I,2
161118002501058,R,2
150427001801194,B,122
150427001801194,I,24
150427001801194,V,18
150427001801194,R,10
131217002301304,B,121
131217002301304,V,9
