filename,status,details
invalid_filenames,FILE NOT FOUND,/datax/scratch/emmay/galah_spectra/invalid_filenames
170829001901361_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003003601198_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003003601255_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003003601083_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003003601369_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003003601008_I.fits,ERROR,OSError: Empty or corrupt FITS file
170904001401212_I.fits,ERROR,OSError: Empty or corrupt FITS file
170904001401178_I.fits,ERROR,OSError: Empty or corrupt FITS file
170904001401112_I.fits,ERROR,OSError: Empty or corrupt FITS file
170904001401133_I.fits,ERROR,OSError: Empty or corrupt FITS file
170904001401334_I.fits,ERROR,OSError: Empty or corrupt FITS file
140808004701341_I.fits,ERROR,OSError: Empty or corrupt FITS file
140808004701057_I.fits,ERROR,OSError: Empty or corrupt FITS file
170828003201140_I.fits,ERROR,OSError: Empty or corrupt FITS file
170828003201222_I.fits,ERROR,OSError: Empty or corrupt FITS file
170828003201385_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221001601169_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221002101218_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225001601130_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221002101170_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225001601267_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225001601352_I.fits,ERROR,OSError: Empty or corrupt FITS file
181224002101376_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225002101142_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221002101237_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225002101306_I.fits,ERROR,OSError: Empty or corrupt FITS file
181226001601207_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829003401045_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829003401113_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829003401149_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829003401397_I.fits,ERROR,OSError: Empty or corrupt FITS file
170828003201398_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829003401320_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829002901116_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829002901058_I.fits,ERROR,OSError: Empty or corrupt FITS file
181223001601128_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829002901185_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829002901108_I.fits,ERROR,OSError: Empty or corrupt FITS file
181223001601290_I.fits,ERROR,OSError: Empty or corrupt FITS file
181223001601090_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829002901036_I.fits,ERROR,OSError: Empty or corrupt FITS file
181223001601061_I.fits,ERROR,OSError: Empty or corrupt FITS file
170829002901052_I.fits,ERROR,OSError: Empty or corrupt FITS file
